TrainNumber,StationName,StationCode,ArrivalTime,DepartureTime,Distance,Weather,FestivalImpact,DepartureHour,SyntheticDelay(min)
12801,SASARAM,SSM,15:18:00,15:20:00,981,Rain,FestivalDay,15,64.0
12801,BHABUA ROAD,BBU,15:51:00,15:53:00,1028,Storm,NearFestival,15,123.0
12801,MUGHAL SARAI,MGS,17:05:00,17:20:00,1082,Fog,None,17,60.0
12801,CHUNAR JN.,CAR,17:58:00,18:00:00,1114,Fog,None,18,70.0
12801,MIRZAPUR,MZP,18:22:00,18:24:00,1145,Clear,None,18,47.0
12801,ALLAHABAD JN,ALD,19:40:00,19:50:00,1235,Clear,NearFestival,19,71.0
12801,FATEHPUR,FTP,20:58:00,21:00:00,1351,Storm,None,21,86.0
12801,KANPUR CENTR,CNB,22:05:00,22:10:00,1429,Storm,FestivalDay,22,84.0
12801,GHAZIABAD JN,GZB,03:30:00,03:32:00,1834,Storm,None,3,101.0
12801,NEW DELHI,NDLS,04:25:00,04:25:00,1860,Rain,NearFestival,4,100.0
12860,HOWRAH JN.,HWH,13:50:00,13:50:00,0,Fog,FestivalDay,13,65.0
12860,KHARAGPUR,KGP,15:30:00,15:35:00,116,Fog,None,15,42.0
12860,TATANAGAR JN,TATA,17:25:00,17:32:00,254,Fog,FestivalDay,17,63.0
12860,CHAKARADHARP,CKP,18:26:00,18:28:00,316,Storm,None,18,112.0
12860,ROURKELA,ROU,19:50:00,20:05:00,413,Rain,None,20,47.0
12860,JHARSUGUDA J,JSG,21:41:00,21:43:00,514,Fog,None,21,79.0
12860,RAIGARH,RIG,22:29:00,22:31:00,587,Storm,FestivalDay,22,116.0
12860,BILASPUR JN.,BSP,00:30:00,00:45:00,720,Fog,NearFestival,0,80.0
12860,RAIPUR JN.,R,02:15:00,02:25:00,829,Rain,FestivalDay,2,51.0
12860,DURG,DURG,03:20:00,03:25:00,872,Clear,NearFestival,3,67.0
12860,RAJNANDGAON,RJN,03:46:00,03:48:00,902,Fog,NearFestival,3,81.0
12860,GONDIA JN.,G,05:13:00,05:15:00,1006,Clear,None,5,35.0
12860,BHANDARA RD,BRD,06:00:00,06:02:00,1074,Rain,None,6,29.0
12860,NAGPUR JN.(C,NGP,07:20:00,07:30:00,1137,Fog,NearFestival,7,110.0
12860,WARDHA JN.,WR,08:32:00,08:35:00,1216,Clear,None,8,34.0
12860,BADNERA JN.,BD,10:07:00,10:10:00,1311,Rain,NearFestival,10,84.0
12860,AKOLA JN.,AK,11:10:00,11:15:00,1390,Clear,None,11,29.0
12860,SHEGAON,SEG,11:44:00,11:45:00,1427,Rain,FestivalDay,11,80.0
12860,MALKAPUR,MKU,12:19:00,12:20:00,1479,Storm,NearFestival,12,130.0
12860,BHUSAVAL JN.,BSL,13:10:00,13:20:00,1534,Rain,NearFestival,13,105.0
12860,JALGAON JN.,JL,13:43:00,13:45:00,1559,Rain,None,13,58.0
12860,NASIK ROAD,NK,16:20:00,16:25:00,1792,Rain,None,16,54.0
12860,IGATPURI,IGP,18:10:00,18:15:00,1842,Fog,FestivalDay,18,127.0
12860,KALYAN JN,KYN,20:02:00,20:05:00,1925,Rain,NearFestival,20,91.0
12860,DADAR,DR,20:47:00,20:50:00,1970,Fog,FestivalDay,20,114.0
12860,CST-MUMBAI,CSMT,21:20:00,21:20:00,1979,Rain,NearFestival,21,115.0
12903,MUMBAI CENTR,BCT,21:25:00,21:25:00,0,Storm,NearFestival,21,109.0
12903,BORIVLI,BVI,21:57:00,22:01:00,29,Fog,FestivalDay,22,45.0
12903,SURAT,ST,01:00:00,01:05:00,262,Fog,FestivalDay,1,64.0
12903,VADODARA JN.,BRC,02:46:00,02:56:00,391,Fog,FestivalDay,2,63.0
12903,GODHRA JN.,GDA,04:10:00,04:12:00,463,Clear,NearFestival,4,56.0
12903,DAHOD,DHD,05:05:00,05:07:00,537,Storm,NearFestival,5,103.0
12903,MEGHNAGAR,MGN,05:29:00,05:31:00,570,Storm,FestivalDay,5,96.0
12903,RATLAM JN,RTM,07:05:00,07:15:00,652,Rain,NearFestival,7,90.0
12903,NAGDA JN,NAD,08:10:00,08:12:00,697,Clear,FestivalDay,8,53.0
12903,SHAMGARH,SGZ,09:12:00,09:14:00,788,Storm,NearFestival,9,134.0
12903,BHAWANI MAND,BWM,09:39:00,09:40:00,818,Clear,FestivalDay,9,63.0
12903,KOTA,KOTA,11:00:00,11:05:00,918,Rain,FestivalDay,11,61.0
12903,SAWAI MADHOP,SWM,12:25:00,12:30:00,1026,Storm,NearFestival,12,164.0
12903,GANGAPUR CIT,GGC,13:20:00,13:25:00,1089,Clear,None,13,39.0
12903,SHRI MAHABIR,SMBJ,13:48:00,13:50:00,1119,Fog,None,13,71.0
12903,HINDAUN CITY,HAN,14:00:00,14:02:00,1130,Rain,None,14,49.0
12903,BAYANA,BXN,14:28:00,14:30:00,1162,Rain,FestivalDay,14,72.0
12903,BHARATPUR JN,BTE,15:00:00,15:02:00,1204,Storm,NearFestival,15,129.0
12903,MATHURA JN.,MTJ,16:15:00,16:20:00,1238,Storm,None,16,119.0
12903,FARIDABAD,FDB,18:04:00,18:06:00,1348,Rain,FestivalDay,18,68.0
12903,HAZRAT NIZAM,NZM,18:45:00,19:00:00,1366,Rain,NearFestival,19,91.0
12903,GHAZIABAD JN,GZB,19:51:00,19:53:00,1394,Clear,None,19,56.0
12903,MEERUT CITY,MTC,21:05:00,21:10:00,1441,Fog,None,21,74.0
12903,MEERUT CANT,MUT,21:15:00,21:17:00,1445,Storm,FestivalDay,21,158.0
12903,MUZAFFARNAGA,MOZ,21:51:00,21:53:00,1496,Fog,FestivalDay,21,110.0
12903,SAHARANPUR J,SRE,23:15:00,23:25:00,1554,Clear,NearFestival,23,96.0
12903,YAMUNANAGER,YJUD,23:52:00,23:55:00,1585,Fog,NearFestival,23,100.0
12903,AMBALA CANTT,UMB,00:45:00,00:55:00,1636,Rain,FestivalDay,0,88.0
12903,LUDHIANA JN.,LDH,02:37:00,02:47:00,1749,Storm,None,2,81.0
12903,PHAGWARA JN.,PGW,03:18:00,03:20:00,1785,Clear,NearFestival,3,89.0
12903,JALANDHAR CA,JRC,03:36:00,03:38:00,1801,Clear,None,3,57.0
12903,JALANDHAR CI,JUC,03:52:00,03:57:00,1806,Rain,None,3,42.0
12903,BEAS JN,BEAS,04:29:00,04:31:00,1842,Fog,NearFestival,4,91.0
12903,AMRITSAR JN.,ASR,05:30:00,05:30:00,1885,Storm,FestivalDay,5,122.0
12951,MUMBAI CENTR,BCT,17:00:00,17:00:00,0,Rain,None,17,27.0
12951,BORIVLI,BVI,17:30:00,17:32:00,29,Fog,FestivalDay,17,58.0
12951,SURAT,ST,19:53:00,19:58:00,262,Fog,None,19,39.0
12951,VADODARA JN.,BRC,21:18:00,21:28:00,391,Clear,NearFestival,21,59.0
12951,RATLAM JN,RTM,00:37:00,00:40:00,652,Storm,None,0,68.0
12951,NAGDA JN,NAD,01:18:00,01:20:00,697,Storm,None,1,108.0
12951,KOTA,KOTA,03:20:00,03:25:00,918,Fog,NearFestival,3,107.0
12951,NEW DELHI,NDLS,08:35:00,08:35:00,1373,Rain,FestivalDay,8,72.0
12953,MUMBAI CENTR,BCT,17:40:00,17:40:00,0,Rain,FestivalDay,17,51.0
12953,ANDHERI,ADH,18:02:00,18:03:00,17,Clear,None,18,23.0
12953,BORIVLI,BVI,18:16:00,18:19:00,29,Fog,FestivalDay,18,71.0
12953,VAPI,VAPI,19:40:00,19:42:00,169,Clear,NearFestival,19,43.0
12953,VALSAD,BL,20:02:00,20:05:00,193,Clear,FestivalDay,20,38.0
12953,SURAT,ST,20:50:00,20:55:00,262,Fog,NearFestival,20,89.0
12953,BHARUCH JN.,BH,21:32:00,21:33:00,321,Storm,NearFestival,21,153.0
12953,VADODARA JN.,BRC,22:21:00,22:31:00,391,Rain,FestivalDay,22,51.0
12953,RATLAM JN,RTM,02:18:00,02:20:00,652,Clear,None,2,17.0
12953,KOTA,KOTA,05:10:00,05:20:00,918,Fog,FestivalDay,5,90.0
12953,SAWAI MADHOP,SWM,06:26:00,06:28:00,1026,Clear,None,6,35.0
12953,MATHURA JN.,MTJ,09:00:00,09:02:00,1238,Storm,NearFestival,9,150.0
12953,HAZRAT NIZAM,NZM,10:55:00,10:55:00,1366,Clear,FestivalDay,10,55.0
