Train Number,Date,Distance,Weather,FestivalImpact,TimeOfDay,DelayMinutes
12002,2024-07-20,690,Rain,FestivalEve,Day,74
12002,2024-07-21,690,Rain,FestivalEve,Morning,71
12002,2024-07-22,690,Fog,FestivalDay,Morning,79
12002,2024-07-23,690,Fog,FestivalDay,Night,70
12002,2024-07-24,690,Fog,None,Night,64
12002,2024-07-25,690,Storm,FestivalEve,Evening,115
12002,2024-07-26,690,Rain,FestivalDay,Evening,91
12002,2024-07-27,690,Clear,None,Day,15
12002,2024-07-28,690,Fog,FestivalEve,Day,90
12002,2024-07-29,690,Rain,FestivalEve,Night,45
12002,2024-07-30,690,Clear,FestivalEve,Evening,67
12002,2024-07-31,690,Clear,FestivalEve,Day,59
12002,2024-08-01,690,Rain,None,Evening,60
12002,2024-08-02,690,Rain,FestivalDay,Night,73
12002,2024-08-03,690,Storm,FestivalDay,Day,85
12002,2024-08-04,690,Rain,FestivalEve,Night,78
12002,2024-08-05,690,Storm,None,Morning,101
12002,2024-08-06,690,Storm,FestivalDay,Evening,131
12002,2024-08-07,690,Storm,FestivalEve,Evening,149
12002,2024-08-08,690,Rain,FestivalDay,Night,57
12002,2024-08-09,690,Storm,None,Evening,120
12002,2024-08-10,690,Rain,None,Night,22
12002,2024-08-11,690,Rain,FestivalEve,Night,42
12002,2024-08-12,690,Rain,FestivalEve,Evening,92
12002,2024-08-13,690,Fog,FestivalDay,Day,84
12002,2024-08-14,690,Storm,FestivalEve,Day,140
12002,2024-08-15,690,Clear,FestivalDay,Night,34
12002,2024-08-16,690,Clear,None,Morning,27
12002,2024-08-17,690,Rain,FestivalEve,Morning,71
12002,2024-08-18,690,Fog,FestivalEve,Day,75
12002,2024-08-19,690,Clear,None,Night,28
12002,2024-08-20,690,Rain,FestivalEve,Day,61
12002,2024-08-21,690,Storm,None,Night,96
12002,2024-08-22,690,Storm,FestivalDay,Evening,99
12002,2024-08-23,690,Rain,None,Morning,36
12002,2024-08-24,690,Fog,FestivalDay,Morning,68
12002,2024-08-25,690,Clear,None,Day,20
12002,2024-08-26,690,Clear,FestivalDay,Day,51
12002,2024-08-27,690,Fog,FestivalEve,Evening,92
12002,2024-08-28,690,Storm,FestivalDay,Morning,130
12002,2024-08-29,690,Storm,FestivalEve,Day,136
12002,2024-08-30,690,Storm,FestivalDay,Evening,130
12002,2024-08-31,690,Rain,FestivalDay,Day,52
12002,2024-09-01,690,Storm,FestivalEve,Morning,114
12002,2024-09-02,690,Storm,FestivalDay,Evening,105
12002,2024-09-03,690,Rain,FestivalDay,Morning,59
12002,2024-09-04,690,Storm,FestivalDay,Evening,105
12002,2024-09-05,690,Rain,None,Night,43
12002,2024-09-06,690,Fog,None,Day,59
12002,2024-09-07,690,Clear,None,Day,35
12002,2024-09-08,690,Rain,None,Morning,36
12002,2024-09-09,690,Rain,FestivalEve,Evening,82
12002,2024-09-10,690,Storm,None,Day,100
12002,2024-09-11,690,Rain,FestivalEve,Day,61
12002,2024-09-12,690,Fog,FestivalDay,Night,90
12002,2024-09-13,690,Storm,FestivalEve,Night,97
12002,2024-09-14,690,Storm,FestivalEve,Day,111
12002,2024-09-15,690,Clear,None,Day,13
12002,2024-09-16,690,Clear,FestivalEve,Day,63
12002,2024-09-17,690,Clear,FestivalDay,Night,30
12002,2024-09-18,690,Storm,FestivalDay,Day,80
12002,2024-09-19,690,Rain,None,Morning,40
12002,2024-09-20,690,Rain,FestivalEve,Day,73
12002,2024-09-21,690,Rain,FestivalDay,Day,54
12002,2024-09-22,690,Rain,None,Morning,39
12002,2024-09-23,690,Clear,FestivalDay,Day,50
12002,2024-09-24,690,Clear,FestivalDay,Day,46
12002,2024-09-25,690,Storm,FestivalEve,Day,117
12002,2024-09-26,690,Storm,FestivalEve,Morning,113
12002,2024-09-27,690,Fog,FestivalDay,Night,58
12002,2024-09-28,690,Fog,FestivalEve,Day,71
12002,2024-09-29,690,Fog,FestivalEve,Night,75
12002,2024-09-30,690,Fog,FestivalDay,Morning,92
12002,2024-10-01,690,Storm,FestivalEve,Night,119
12002,2024-10-02,690,Fog,FestivalDay,Day,70
12002,2024-10-03,690,Clear,FestivalDay,Night,52
12002,2024-10-04,690,Fog,FestivalEve,Morning,88
12002,2024-10-05,690,Fog,None,Night,57
12002,2024-10-06,690,Rain,FestivalDay,Day,70
12002,2024-10-07,690,Fog,None,Morning,51
12002,2024-10-08,690,Fog,None,Morning,50
12002,2024-10-09,690,Rain,FestivalEve,Night,94
12002,2024-10-10,690,Rain,FestivalDay,Night,40
12002,2024-10-11,690,Fog,None,Day,49
12002,2024-10-12,690,Storm,FestivalDay,Morning,120
12002,2024-10-13,690,Clear,None,Morning,28
12002,2024-10-14,690,Rain,FestivalEve,Evening,69
12002,2024-10-15,690,Rain,FestivalEve,Day,62
12002,2024-10-16,690,Storm,None,Morning,99
12002,2024-10-17,690,Fog,FestivalEve,Morning,81
12002,2024-10-18,690,Storm,FestivalDay,Night,125
12002,2024-10-19,690,Storm,FestivalEve,Evening,155
12002,2024-10-20,690,Fog,FestivalEve,Night,81
12002,2024-10-21,690,Storm,None,Evening,70
12002,2024-10-22,690,Clear,FestivalEve,Day,43
12002,2024-10-23,690,Storm,None,Morning,65
12002,2024-10-24,690,Rain,None,Night,43
12002,2024-10-25,690,Fog,FestivalDay,Day,73
12002,2024-10-26,690,Fog,FestivalEve,Evening,90
12002,2024-10-27,690,Clear,None,Night,31
12002,2024-10-28,690,Storm,FestivalEve,Night,113
12002,2024-10-29,690,Clear,FestivalEve,Evening,62
12002,2024-10-30,690,Clear,None,Evening,40
12002,2024-10-31,690,Storm,None,Day,118
12002,2024-11-01,690,Storm,FestivalEve,Morning,101
12002,2024-11-02,690,Clear,FestivalEve,Day,48
12002,2024-11-03,690,Storm,None,Night,111
12002,2024-11-04,690,Storm,FestivalDay,Morning,110
12002,2024-11-05,690,Storm,FestivalDay,Day,93
12002,2024-11-06,690,Fog,None,Day,54
12002,2024-11-07,690,Rain,None,Morning,22
12002,2024-11-08,690,Rain,None,Morning,41
12002,2024-11-09,690,Storm,None,Morning,108
12002,2024-11-10,690,Fog,None,Evening,55
12002,2024-11-11,690,Fog,FestivalDay,Night,81
12002,2024-11-12,690,Rain,FestivalDay,Morning,41
12002,2024-11-13,690,Rain,None,Night,27
12002,2024-11-14,690,Storm,FestivalEve,Day,117
12002,2024-11-15,690,Rain,FestivalEve,Evening,78
12002,2024-11-16,690,Clear,FestivalDay,Night,33
12002,2024-11-17,690,Rain,FestivalEve,Evening,63
12002,2024-11-18,690,Rain,FestivalDay,Day,72
12002,2024-11-19,690,Rain,None,Morning,34
12002,2024-11-20,690,Rain,FestivalDay,Day,64
12002,2024-11-21,690,Rain,FestivalEve,Morning,61
12002,2024-11-22,690,Storm,FestivalDay,Night,81
12002,2024-11-23,690,Fog,FestivalEve,Evening,117
12002,2024-11-24,690,Clear,FestivalDay,Evening,66
12002,2024-11-25,690,Clear,FestivalEve,Evening,66
12002,2024-11-26,690,Fog,FestivalEve,Evening,93
12002,2024-11-27,690,Fog,FestivalEve,Day,111
12002,2024-11-28,690,Clear,None,Night,24
12002,2024-11-29,690,Fog,None,Night,43
12002,2024-11-30,690,Rain,FestivalEve,Evening,71
12002,2024-12-01,690,Rain,FestivalEve,Night,76
12002,2024-12-02,690,Rain,None,Day,32
12002,2024-12-03,690,Storm,FestivalEve,Night,117
12002,2024-12-04,690,Clear,FestivalEve,Evening,63
12002,2024-12-05,690,Storm,FestivalDay,Night,74
12002,2024-12-06,690,Storm,FestivalEve,Day,127
12002,2024-12-07,690,Rain,FestivalEve,Evening,82
12002,2024-12-08,690,Storm,None,Night,84
12002,2024-12-09,690,Clear,FestivalDay,Morning,39
12002,2024-12-10,690,Fog,FestivalDay,Day,84
12002,2024-12-11,690,Fog,FestivalEve,Day,112
12002,2024-12-12,690,Storm,None,Morning,81
12002,2024-12-13,690,Fog,None,Morning,38
12002,2024-12-14,690,Rain,FestivalEve,Day,65
12002,2024-12-15,690,Fog,FestivalEve,Evening,87
12002,2024-12-16,690,Fog,FestivalEve,Night,81
12002,2024-12-17,690,Rain,FestivalDay,Night,69
12002,2024-12-18,690,Fog,None,Evening,48
12002,2024-12-19,690,Storm,FestivalEve,Evening,165
12002,2024-12-20,690,Fog,None,Evening,49
12002,2024-12-21,690,Storm,FestivalDay,Night,82
12002,2024-12-22,690,Fog,None,Day,49
12002,2024-12-23,690,Rain,FestivalEve,Morning,61
12002,2024-12-24,690,Clear,None,Morning,24
12002,2024-12-25,690,Fog,FestivalDay,Night,52
12002,2024-12-26,690,Fog,FestivalEve,Evening,107
12002,2024-12-27,690,Rain,None,Night,23
12002,2024-12-28,690,Fog,FestivalEve,Morning,74
12002,2024-12-29,690,Storm,FestivalDay,Evening,125
12002,2024-12-30,690,Fog,None,Night,44
12002,2024-12-31,690,Storm,FestivalDay,Evening,136
12245,2024-01-01,1957,Clear,FestivalEve,Night,92
12245,2024-01-02,1957,Fog,FestivalDay,Evening,106
12245,2024-01-03,1957,Storm,FestivalEve,Day,166
12245,2024-01-04,1957,Rain,FestivalDay,Night,65
12245,2024-01-05,1957,Rain,None,Evening,60
12245,2024-01-06,1957,Fog,FestivalDay,Day,117
12245,2024-01-07,1957,Clear,None,Evening,58
12245,2024-01-08,1957,Fog,None,Evening,79
12245,2024-01-09,1957,Fog,FestivalEve,Morning,99
12245,2024-01-10,1957,Storm,FestivalDay,Morning,95
12245,2024-01-11,1957,Rain,FestivalDay,Day,84
12245,2024-01-12,1957,Fog,None,Morning,99
12245,2024-01-13,1957,Clear,FestivalDay,Evening,85
12245,2024-01-14,1957,Storm,FestivalEve,Night,139
12245,2024-01-15,1957,Clear,None,Morning,34
12245,2024-01-16,1957,Clear,FestivalEve,Night,94
12245,2024-01-17,1957,Rain,None,Morning,49
12245,2024-01-18,1957,Storm,None,Day,108
12245,2024-01-19,1957,Clear,None,Night,36
12245,2024-01-20,1957,Storm,None,Night,104
12245,2024-01-21,1957,Storm,FestivalEve,Day,134
12245,2024-01-22,1957,Fog,FestivalEve,Day,109
12245,2024-01-23,1957,Rain,FestivalEve,Day,112
12245,2024-01-24,1957,Fog,None,Evening,89
12245,2024-01-25,1957,Clear,FestivalEve,Day,93
12245,2024-01-26,1957,Clear,FestivalEve,Evening,79
12245,2024-01-27,1957,Fog,None,Night,78
12245,2024-01-28,1957,Clear,None,Night,47
12245,2024-01-29,1957,Clear,None,Day,52
12245,2024-01-30,1957,Clear,FestivalEve,Morning,63
12245,2024-01-31,1957,Rain,FestivalEve,Day,124
12245,2024-02-01,1957,Storm,None,Day,138
12245,2024-02-02,1957,Rain,FestivalDay,Day,94
12245,2024-02-03,1957,Clear,FestivalEve,Night,88
12245,2024-02-04,1957,Storm,None,Night,107
12245,2024-02-05,1957,Clear,FestivalDay,Evening,71
12245,2024-02-06,1957,Fog,FestivalDay,Day,125
12245,2024-02-07,1957,Clear,FestivalEve,Day,77
12245,2024-02-08,1957,Storm,FestivalDay,Night,174
12245,2024-02-09,1957,Rain,FestivalEve,Night,105
12245,2024-02-10,1957,Storm,FestivalDay,Evening,115
12245,2024-02-11,1957,Storm,None,Morning,82
12245,2024-02-12,1957,Fog,FestivalDay,Morning,91
12245,2024-02-13,1957,Clear,FestivalDay,Day,68
12245,2024-02-14,1957,Rain,FestivalDay,Morning,93
12245,2024-02-15,1957,Rain,None,Morning,51
12245,2024-02-16,1957,Fog,FestivalDay,Morning,113
12245,2024-02-17,1957,Fog,FestivalEve,Day,95
12245,2024-02-18,1957,Rain,FestivalEve,Day,99
12245,2024-02-19,1957,Storm,FestivalDay,Night,147
12245,2024-02-20,1957,Fog,None,Night,94
12245,2024-02-21,1957,Fog,FestivalEve,Night,110
12245,2024-02-22,1957,Storm,None,Night,126
12245,2024-02-23,1957,Clear,FestivalEve,Day,105
12245,2024-02-24,1957,Rain,FestivalEve,Evening,101
12245,2024-02-25,1957,Clear,None,Night,49
12245,2024-02-26,1957,Clear,FestivalEve,Morning,74
12245,2024-02-27,1957,Fog,FestivalDay,Day,112
12245,2024-02-28,1957,Fog,FestivalDay,Day,122
12245,2024-02-29,1957,Clear,FestivalEve,Morning,76
12245,2024-03-01,1957,Fog,FestivalDay,Evening,90
12245,2024-03-02,1957,Fog,FestivalDay,Morning,98
12245,2024-03-03,1957,Rain,None,Evening,83
12245,2024-03-04,1957,Storm,FestivalEve,Day,165
12245,2024-03-05,1957,Clear,FestivalEve,Day,72
12245,2024-03-06,1957,Rain,None,Night,50
12245,2024-03-07,1957,Storm,None,Morning,99
12245,2024-03-08,1957,Rain,None,Night,57
12245,2024-03-09,1957,Storm,FestivalEve,Night,170
12245,2024-03-10,1957,Fog,FestivalDay,Night,108
12245,2024-03-11,1957,Fog,FestivalDay,Evening,114
12245,2024-03-12,1957,Fog,None,Day,81
12245,2024-03-13,1957,Storm,FestivalEve,Day,113
12245,2024-03-14,1957,Fog,FestivalDay,Night,122
12245,2024-03-15,1957,Rain,FestivalDay,Day,76
12245,2024-03-16,1957,Clear,None,Night,50
12245,2024-03-17,1957,Rain,FestivalEve,Evening,88
12245,2024-03-18,1957,Rain,None,Night,51
12245,2024-03-19,1957,Storm,FestivalDay,Night,123
12245,2024-03-20,1957,Storm,None,Evening,133
12245,2024-03-21,1957,Storm,FestivalEve,Morning,132
12245,2024-03-22,1957,Fog,FestivalDay,Morning,87
12245,2024-03-23,1957,Clear,FestivalDay,Day,69
12245,2024-03-24,1957,Storm,FestivalEve,Evening,167
12245,2024-03-25,1957,Fog,FestivalDay,Day,100
12245,2024-03-26,1957,Storm,FestivalEve,Evening,151
12245,2024-03-27,1957,Fog,FestivalEve,Evening,147
12245,2024-03-28,1957,Storm,None,Morning,95
12245,2024-03-29,1957,Storm,FestivalDay,Morning,127
12245,2024-03-30,1957,Fog,None,Morning,79
12245,2024-03-31,1957,Rain,FestivalDay,Morning,88
12245,2024-04-01,1957,Clear,FestivalDay,Evening,75
12245,2024-04-02,1957,Storm,FestivalDay,Morning,104
12245,2024-04-03,1957,Fog,FestivalEve,Night,81
12245,2024-04-04,1957,Rain,FestivalEve,Night,87
12245,2024-04-05,1957,Storm,FestivalDay,Evening,186
12245,2024-04-06,1957,Rain,FestivalEve,Day,125
12245,2024-04-07,1957,Fog,FestivalDay,Day,116
12245,2024-04-08,1957,Storm,FestivalEve,Night,133
12245,2024-04-09,1957,Fog,None,Day,81
12245,2024-04-10,1957,Fog,FestivalEve,Day,136
12245,2024-04-11,1957,Storm,None,Evening,120
12245,2024-04-12,1957,Rain,None,Evening,59
12245,2024-04-13,1957,Fog,FestivalEve,Evening,116
12245,2024-04-14,1957,Rain,FestivalDay,Day,82
12245,2024-04-15,1957,Clear,None,Night,33
12245,2024-04-16,1957,Storm,FestivalEve,Day,156
12245,2024-04-17,1957,Clear,FestivalEve,Evening,90
12245,2024-04-18,1957,Rain,FestivalDay,Day,83
12245,2024-04-19,1957,Storm,None,Morning,143
12245,2024-04-20,1957,Clear,None,Evening,52
12245,2024-04-21,1957,Rain,None,Night,42
12245,2024-04-22,1957,Clear,FestivalEve,Morning,80
12245,2024-04-23,1957,Storm,FestivalEve,Morning,159
12245,2024-04-24,1957,Clear,FestivalEve,Night,87
12245,2024-04-25,1957,Clear,FestivalDay,Day,72
12245,2024-04-26,1957,Fog,FestivalEve,Evening,132
12245,2024-04-27,1957,Fog,None,Evening,87
12245,2024-04-28,1957,Fog,FestivalDay,Night,102
12245,2024-04-29,1957,Fog,None,Morning,53
12245,2024-04-30,1957,Rain,FestivalDay,Night,94
12245,2024-05-01,1957,Storm,FestivalDay,Evening,182
12245,2024-05-02,1957,Rain,None,Night,62
12245,2024-05-03,1957,Clear,FestivalDay,Night,68
12245,2024-05-04,1957,Clear,None,Night,28
12245,2024-05-05,1957,Fog,FestivalEve,Morning,122
12245,2024-05-06,1957,Rain,FestivalEve,Night,78
12245,2024-05-07,1957,Storm,None,Morning,129
12245,2024-05-08,1957,Clear,FestivalDay,Evening,58
12245,2024-05-09,1957,Storm,FestivalDay,Morning,143
12245,2024-05-10,1957,Storm,None,Morning,83
12245,2024-05-11,1957,Clear,FestivalDay,Morning,76
12245,2024-05-12,1957,Fog,FestivalEve,Evening,118
12245,2024-05-13,1957,Rain,FestivalEve,Day,91
12245,2024-05-14,1957,Storm,FestivalEve,Day,162
12245,2024-05-15,1957,Fog,None,Evening,104
12245,2024-05-16,1957,Storm,FestivalEve,Night,102
12245,2024-05-17,1957,Clear,None,Day,32
12245,2024-05-18,1957,Fog,FestivalDay,Night,92
12245,2024-05-19,1957,Storm,None,Evening,119
12245,2024-05-20,1957,Clear,FestivalEve,Night,71
12245,2024-05-21,1957,Clear,FestivalEve,Night,55
12245,2024-05-22,1957,Clear,FestivalDay,Morning,59
12245,2024-05-23,1957,Storm,FestivalEve,Morning,130
12245,2024-05-24,1957,Rain,FestivalEve,Evening,82
12245,2024-05-25,1957,Rain,FestivalEve,Day,98
12245,2024-05-26,1957,Clear,FestivalDay,Night,43
12245,2024-05-27,1957,Rain,FestivalDay,Day,95
